order_id,placed_at,zone,platform,status,total_amount,prep_time_seconds,delivery_time_seconds,cancellation_reason,weather_flag
483524,2026-06-16T20:42:45,Zone 1,swiggy,delivered,349,543,1545,,false
483471,2026-06-16T20:43:41,Zone 2,swiggy,delivered,471,865,1963,,false
483529,2026-06-16T21:10:03,Zone 1,swiggy,delivered,377,690,1963,,false
483570,2026-06-16T21:17:10,Zone 1,zomato,delivered,567,757,1566,,false
483559,2026-06-16T21:57:09,Zone 1,swiggy,delivered,354,505,1808,,false
483468,2026-06-16T22:05:35,Zone 3,zomato,cancelled,642,1053,,customer_cancelled_predispatch,false
483516,2026-06-16T22:28:51,Zone 1,zomato,delivered,348,512,1327,,false
483582,2026-06-16T22:47:42,Zone 2,swiggy,delivered,421,707,1861,,false
483562,2026-06-16T23:02:57,Zone 1,swiggy,delivered,148,1113,2197,,false
483488,2026-06-16T23:48:11,Zone 3,zomato,delivered,239,889,2073,,false
483720,2026-06-17T00:55:34,Zone 2,swiggy,delivered,266,839,1631,,false
483855,2026-06-17T01:19:13,Zone 3,swiggy,delivered,157,685,1708,,false
483726,2026-06-17T04:26:05,Zone 3,zomato,delivered,310,981,2133,,false
483710,2026-06-17T06:48:43,Zone 2,zomato,delivered,185,707,2055,,false
483758,2026-06-17T06:53:42,Zone 1,zomato,delivered,436,408,1406,,false
483827,2026-06-17T08:05:20,Zone 1,swiggy,delivered,395,965,2033,,false
483788,2026-06-17T08:52:29,Zone 1,swiggy,delivered,168,636,1354,,false
483808,2026-06-17T09:13:41,Zone 2,swiggy,delivered,529,497,1195,,false
483660,2026-06-17T09:23:40,Zone 3,swiggy,delivered,476,614,1641,,false
483802,2026-06-17T09:43:23,Zone 3,zomato,delivered,120,1181,2408,,false
483703,2026-06-17T11:03:10,Zone 2,zomato,delivered,313,741,1769,,false
483678,2026-06-17T12:14:23,Zone 1,zomato,delivered,161,502,1813,,false
483853,2026-06-17T12:32:07,Zone 2,swiggy,cancelled,431,1069,2248,courier_no_show,false
483861,2026-06-17T12:35:53,Zone 3,swiggy,delivered,99,1250,2301,,false
483738,2026-06-17T12:49:26,Zone 1,swiggy,delivered,413,1345,2671,,false
483742,2026-06-17T13:06:55,Zone 1,zomato,delivered,661,537,1373,,false
483816,2026-06-17T13:08:47,Zone 2,zomato,delivered,316,956,1959,,false
483754,2026-06-17T13:27:44,Zone 2,swiggy,delivered,150,808,1947,,false
483831,2026-06-17T13:32:38,Zone 1,zomato,delivered,625,1200,2001,,false
483690,2026-06-17T13:39:03,Zone 3,swiggy,cancelled,503,718,,customer_cancelled_predispatch,false
483850,2026-06-17T14:21:10,Zone 1,swiggy,delivered,135,818,1758,,false
483866,2026-06-17T15:06:15,Zone 2,swiggy,delivered,280,677,1445,,false
483834,2026-06-17T15:14:26,Zone 3,swiggy,delivered,472,655,1973,,false
483737,2026-06-17T15:30:22,Zone 2,swiggy,delivered,307,553,1603,,false
483707,2026-06-17T15:38:02,Zone 3,zomato,delivered,99,951,2012,,false
483674,2026-06-17T15:47:35,Zone 2,swiggy,delivered,243,989,2159,,false
483711,2026-06-17T15:52:31,Zone 2,swiggy,delivered,249,530,1527,,false
483751,2026-06-17T16:16:29,Zone 3,zomato,cancelled,311,839,2329,payment_failed,false
483666,2026-06-17T16:27:52,Zone 2,swiggy,delivered,217,621,1796,,false
483839,2026-06-17T16:54:06,Zone 3,swiggy,delivered,503,1050,2382,,false
483730,2026-06-17T17:17:26,Zone 3,swiggy,delivered,353,1174,2440,,false
483694,2026-06-17T18:10:00,Zone 2,zomato,delivered,236,1055,2023,,false
483836,2026-06-17T18:21:42,Zone 2,zomato,delivered,235,522,1280,,false
483685,2026-06-17T18:26:38,Zone 3,swiggy,delivered,339,821,2164,,false
483748,2026-06-17T18:36:43,Zone 1,swiggy,delivered,661,643,1393,,false
483669,2026-06-17T18:42:24,Zone 1,zomato,delivered,188,1135,2401,,false
483782,2026-06-17T18:52:40,Zone 1,swiggy,delivered,99,926,1731,,false
483724,2026-06-17T18:59:18,Zone 3,swiggy,delivered,99,1137,2005,,false
483743,2026-06-17T19:25:41,Zone 3,zomato,delivered,637,779,1961,,false
483716,2026-06-17T19:25:52,Zone 1,swiggy,delivered,220,1222,2449,,false
483779,2026-06-17T19:25:54,Zone 2,zomato,delivered,99,913,2034,,false
483835,2026-06-17T19:30:04,Zone 3,swiggy,delivered,144,1260,2321,,false
483679,2026-06-17T19:48:31,Zone 3,zomato,cancelled,313,651,1733,payment_failed,false
483797,2026-06-17T19:53:31,Zone 2,zomato,delivered,99,902,2151,,false
483700,2026-06-17T19:59:16,Zone 2,zomato,delivered,196,690,1526,,false
483746,2026-06-17T20:06:28,Zone 3,zomato,delivered,107,779,1531,,false
483768,2026-06-17T20:11:12,Zone 3,zomato,delivered,268,758,2048,,false
483810,2026-06-17T20:13:37,Zone 3,swiggy,delivered,515,1081,2420,,false
483670,2026-06-17T20:17:35,Zone 2,swiggy,delivered,215,1041,2024,,false
483862,2026-06-17T20:26:18,Zone 2,zomato,delivered,184,946,1849,,false
483671,2026-06-17T20:28:50,Zone 1,swiggy,delivered,441,1067,2089,,false
483744,2026-06-17T21:02:39,Zone 1,zomato,delivered,235,551,1733,,false
483792,2026-06-17T21:08:24,Zone 2,zomato,delivered,445,1026,2296,,false
483734,2026-06-17T21:17:49,Zone 2,zomato,delivered,469,1019,2275,,false
483760,2026-06-17T21:18:49,Zone 2,swiggy,delivered,403,1113,2224,,false
483680,2026-06-17T21:25:31,Zone 2,zomato,cancelled,174,1372,,customer_cancelled_predispatch,false
483845,2026-06-17T21:39:43,Zone 2,zomato,delivered,417,493,1677,,false
483766,2026-06-17T21:40:06,Zone 2,swiggy,delivered,300,1165,2022,,false
483822,2026-06-17T22:02:46,Zone 2,swiggy,delivered,318,1036,2323,,false
483847,2026-06-17T22:22:00,Zone 3,zomato,cancelled,283,990,1862,restaurant_closed_early,false
483676,2026-06-17T22:44:11,Zone 1,swiggy,delivered,467,894,1614,,false
483774,2026-06-17T22:51:18,Zone 3,zomato,delivered,313,1097,2220,,false
483812,2026-06-17T23:34:16,Zone 1,zomato,delivered,164,1035,1696,,false
483938,2026-06-18T06:03:25,Zone 2,swiggy,delivered,135,613,1763,,false
484021,2026-06-18T07:02:41,Zone 1,swiggy,delivered,365,405,1437,,false
483981,2026-06-18T07:09:43,Zone 3,swiggy,delivered,504,796,1901,,false
483992,2026-06-18T08:34:18,Zone 3,zomato,delivered,538,489,1236,,false
483933,2026-06-18T09:10:17,Zone 3,swiggy,delivered,299,575,1470,,false
483941,2026-06-18T09:16:13,Zone 2,zomato,delivered,341,629,1312,,false
484109,2026-06-18T10:10:46,Zone 2,zomato,delivered,99,629,1414,,false
484028,2026-06-18T10:28:15,Zone 1,swiggy,delivered,275,591,1353,,false
484048,2026-06-18T11:38:32,Zone 2,swiggy,delivered,167,800,1874,,false
484102,2026-06-18T11:56:53,Zone 3,swiggy,delivered,597,561,1822,,false
483960,2026-06-18T12:02:20,Zone 2,zomato,delivered,349,1149,2049,,false
483987,2026-06-18T12:07:01,Zone 1,swiggy,delivered,516,650,1786,,false
484082,2026-06-18T12:15:17,Zone 1,zomato,delivered,451,904,1946,,false
484115,2026-06-18T12:16:24,Zone 2,swiggy,delivered,252,982,1884,,false
484072,2026-06-18T12:32:49,Zone 3,zomato,delivered,167,752,1770,,false
484032,2026-06-18T12:37:22,Zone 1,swiggy,delivered,687,887,2130,,false
483874,2026-06-18T12:38:09,Zone 1,zomato,delivered,397,974,2101,,false
484026,2026-06-18T12:38:09,Zone 3,swiggy,delivered,282,928,1747,,false
484119,2026-06-18T12:42:07,Zone 1,swiggy,delivered,329,1103,1835,,false
483953,2026-06-18T12:42:40,Zone 3,zomato,delivered,254,957,1730,,false
483966,2026-06-18T12:44:31,Zone 3,swiggy,delivered,547,524,1750,,false
483948,2026-06-18T13:00:39,Zone 1,swiggy,cancelled,421,1397,2503,item_unavailable,false
484105,2026-06-18T13:02:00,Zone 2,swiggy,delivered,325,1278,2063,,false
483939,2026-06-18T13:09:08,Zone 1,zomato,delivered,444,1139,1793,,false
484077,2026-06-18T13:11:29,Zone 2,swiggy,delivered,513,1080,2157,,false
484086,2026-06-18T13:18:45,Zone 2,swiggy,delivered,222,658,1961,,false
484097,2026-06-18T13:30:06,Zone 3,swiggy,delivered,353,854,2119,,false
484011,2026-06-18T13:33:57,Zone 3,swiggy,delivered,402,585,1608,,false
484031,2026-06-18T13:36:46,Zone 1,swiggy,delivered,679,551,1521,,false
483906,2026-06-18T13:41:44,Zone 2,zomato,delivered,272,1242,2472,,false
483945,2026-06-18T14:50:39,Zone 1,zomato,delivered,328,1005,2158,,false
483894,2026-06-18T14:58:18,Zone 2,swiggy,cancelled,379,1018,,customer_cancelled_predispatch,false
483924,2026-06-18T15:26:23,Zone 3,zomato,delivered,387,1041,1858,,false
484038,2026-06-18T15:56:16,Zone 2,swiggy,delivered,359,635,1600,,false
484100,2026-06-18T16:12:48,Zone 2,zomato,delivered,366,982,2271,,false
484016,2026-06-18T17:10:37,Zone 1,zomato,delivered,464,1108,2336,,false
484053,2026-06-18T17:20:59,Zone 1,swiggy,delivered,390,900,1907,,false
484057,2026-06-18T17:36:19,Zone 3,swiggy,delivered,428,892,2050,,false
484003,2026-06-18T18:08:20,Zone 1,swiggy,delivered,336,1163,2224,,false
483967,2026-06-18T18:20:06,Zone 2,swiggy,delivered,302,577,1540,,false
483880,2026-06-18T18:22:32,Zone 1,swiggy,delivered,117,498,1747,,false
484044,2026-06-18T18:52:39,Zone 2,swiggy,delivered,144,1302,2208,,false
484061,2026-06-18T19:01:38,Zone 1,zomato,delivered,209,938,2093,,false
483900,2026-06-18T19:18:16,Zone 3,zomato,delivered,382,551,1843,,false
484023,2026-06-18T19:19:30,Zone 3,zomato,delivered,239,530,1519,,false
483884,2026-06-18T19:32:24,Zone 2,zomato,delivered,191,958,1923,,false
483868,2026-06-18T19:33:32,Zone 3,swiggy,delivered,470,1263,2016,,false
484113,2026-06-18T19:40:57,Zone 3,swiggy,delivered,138,651,1528,,false
483918,2026-06-18T19:56:49,Zone 1,swiggy,delivered,179,1220,1986,,false
483997,2026-06-18T20:01:23,Zone 2,swiggy,delivered,281,964,1901,,false
484091,2026-06-18T20:08:06,Zone 3,swiggy,delivered,112,711,1431,,false
484008,2026-06-18T20:08:27,Zone 3,swiggy,delivered,160,650,1797,,false
483929,2026-06-18T20:08:55,Zone 1,swiggy,delivered,270,1197,1934,,false
483913,2026-06-18T20:12:14,Zone 1,swiggy,delivered,531,1025,2044,,false
484067,2026-06-18T20:24:09,Zone 1,zomato,delivered,448,927,1866,,false
483957,2026-06-18T20:29:44,Zone 2,zomato,delivered,122,943,1624,,false
483911,2026-06-18T20:43:58,Zone 1,zomato,delivered,332,795,1684,,false
483963,2026-06-18T20:55:41,Zone 1,zomato,delivered,298,925,1812,,false
483972,2026-06-18T20:58:22,Zone 3,swiggy,delivered,130,849,1975,,false
483879,2026-06-18T21:41:40,Zone 2,zomato,delivered,247,913,2120,,false
483890,2026-06-18T21:53:21,Zone 1,zomato,delivered,101,1412,2489,,false
483977,2026-06-18T22:09:54,Zone 3,swiggy,delivered,161,1000,2315,,false
484124,2026-06-18T22:18:23,Zone 1,zomato,delivered,317,1304,2445,,false
484085,2026-06-18T22:46:17,Zone 1,zomato,delivered,274,1153,2366,,false
483926,2026-06-18T22:50:30,Zone 2,zomato,delivered,232,896,2118,,false
483989,2026-06-18T23:12:07,Zone 3,swiggy,delivered,139,1082,1975,,false
483952,2026-06-18T23:35:01,Zone 3,swiggy,delivered,277,1002,1699,,false
484155,2026-06-19T05:13:04,Zone 2,swiggy,cancelled,426,546,1678,courier_no_show,false
484185,2026-06-19T05:35:59,Zone 2,swiggy,delivered,174,647,1647,,false
484347,2026-06-19T08:06:40,Zone 1,zomato,delivered,177,1190,2537,,false
484261,2026-06-19T08:54:50,Zone 3,swiggy,delivered,241,516,1430,,false
484140,2026-06-19T08:59:30,Zone 1,swiggy,delivered,166,978,1890,,false
484168,2026-06-19T10:15:16,Zone 2,swiggy,delivered,304,823,1509,,false
484304,2026-06-19T11:24:26,Zone 1,swiggy,delivered,190,983,2333,,false
484353,2026-06-19T11:25:40,Zone 3,zomato,delivered,295,485,1190,,false
484190,2026-06-19T11:34:31,Zone 3,swiggy,delivered,406,434,1746,,false
484164,2026-06-19T11:43:27,Zone 2,zomato,delivered,528,753,1667,,false
484299,2026-06-19T11:43:45,Zone 3,zomato,delivered,427,604,1515,,false
484220,2026-06-19T12:09:48,Zone 3,zomato,delivered,240,976,2100,,false
484372,2026-06-19T12:40:38,Zone 2,zomato,delivered,164,978,2106,,false
484366,2026-06-19T12:41:05,Zone 2,zomato,delivered,385,1091,2202,,false
484382,2026-06-19T12:51:09,Zone 2,zomato,delivered,504,1047,2003,,false
484176,2026-06-19T12:58:15,Zone 2,swiggy,delivered,312,737,2005,,false
484139,2026-06-19T13:01:25,Zone 3,zomato,cancelled,368,794,2242,restaurant_rejected,false
484159,2026-06-19T13:19:56,Zone 3,swiggy,delivered,288,997,2162,,false
484282,2026-06-19T13:21:29,Zone 2,swiggy,cancelled,145,897,,customer_cancelled_predispatch,false
484207,2026-06-19T13:25:05,Zone 3,swiggy,delivered,216,752,1458,,false
484204,2026-06-19T13:32:52,Zone 3,zomato,delivered,144,648,1869,,false
484371,2026-06-19T13:33:38,Zone 1,swiggy,delivered,409,1224,2144,,false
484256,2026-06-19T13:44:12,Zone 1,zomato,delivered,443,1015,1928,,false
484231,2026-06-19T13:49:39,Zone 2,zomato,delivered,99,1414,2313,,false
484296,2026-06-19T13:55:31,Zone 3,swiggy,delivered,277,574,1545,,false
484171,2026-06-19T13:58:00,Zone 3,zomato,delivered,156,923,1996,,false
484154,2026-06-19T14:14:15,Zone 2,swiggy,delivered,154,814,2083,,false
484312,2026-06-19T14:35:32,Zone 2,zomato,cancelled,289,876,,customer_cancelled_predispatch,false
484169,2026-06-19T14:38:38,Zone 3,swiggy,delivered,502,939,2198,,false
484358,2026-06-19T14:46:51,Zone 1,swiggy,delivered,240,1168,2267,,false
484280,2026-06-19T14:49:43,Zone 3,swiggy,delivered,238,514,1675,,false
484252,2026-06-19T14:53:39,Zone 3,swiggy,delivered,255,1209,1954,,false
484291,2026-06-19T15:00:45,Zone 1,zomato,delivered,147,552,1522,,false
484248,2026-06-19T15:26:19,Zone 3,swiggy,delivered,326,774,1429,,false
484266,2026-06-19T15:38:30,Zone 2,swiggy,delivered,806,844,1746,,false
484213,2026-06-19T15:50:21,Zone 3,zomato,delivered,720,587,1722,,false
484180,2026-06-19T16:51:46,Zone 3,swiggy,delivered,198,432,1601,,false
484214,2026-06-19T18:17:02,Zone 3,swiggy,delivered,349,589,1250,,false
484337,2026-06-19T18:17:40,Zone 2,swiggy,delivered,539,786,1922,,false
484320,2026-06-19T18:17:49,Zone 3,swiggy,delivered,463,1305,2536,,false
484226,2026-06-19T18:24:48,Zone 1,zomato,cancelled,467,1291,2662,courier_no_show,false
484242,2026-06-19T18:26:06,Zone 1,zomato,cancelled,378,1193,2516,courier_no_show,false
484289,2026-06-19T18:29:14,Zone 2,swiggy,delivered,416,1082,2047,,false
484306,2026-06-19T18:31:18,Zone 1,zomato,delivered,392,1271,2058,,false
484150,2026-06-19T18:33:08,Zone 3,zomato,delivered,497,839,1786,,false
484357,2026-06-19T18:33:43,Zone 1,zomato,delivered,568,803,1503,,false
484329,2026-06-19T18:34:17,Zone 2,swiggy,delivered,451,666,2006,,false
484363,2026-06-19T19:04:33,Zone 1,zomato,delivered,300,1081,2019,,false
484333,2026-06-19T19:06:08,Zone 3,zomato,delivered,456,1211,2204,,false
484275,2026-06-19T19:41:25,Zone 3,swiggy,delivered,333,1035,1997,,false
484188,2026-06-19T19:43:21,Zone 3,swiggy,delivered,467,919,1816,,false
484194,2026-06-19T19:48:00,Zone 1,zomato,delivered,125,684,1376,,false
484364,2026-06-19T19:55:13,Zone 3,swiggy,delivered,159,813,2017,,false
484198,2026-06-19T19:59:39,Zone 3,swiggy,delivered,344,488,1513,,false
484285,2026-06-19T20:01:54,Zone 2,zomato,delivered,180,730,1492,,false
484241,2026-06-19T20:09:47,Zone 1,swiggy,delivered,265,618,1582,,false
484315,2026-06-19T20:18:02,Zone 1,swiggy,delivered,523,1258,2266,,false
484321,2026-06-19T20:19:55,Zone 2,swiggy,delivered,567,1479,2295,,false
484166,2026-06-19T20:30:15,Zone 1,zomato,delivered,553,1048,2088,,false
484136,2026-06-19T20:31:05,Zone 2,swiggy,delivered,164,1049,2170,,false
484244,2026-06-19T20:35:57,Zone 2,swiggy,delivered,274,787,1481,,false
484157,2026-06-19T20:49:03,Zone 2,swiggy,delivered,566,805,1926,,false
484373,2026-06-19T20:49:04,Zone 2,swiggy,delivered,204,1434,2285,,false
484377,2026-06-19T20:49:26,Zone 3,swiggy,delivered,346,763,1771,,false
484126,2026-06-19T20:51:42,Zone 3,zomato,delivered,378,1011,1914,,false
484257,2026-06-19T21:25:23,Zone 3,swiggy,delivered,470,665,1897,,false
484144,2026-06-19T21:28:55,Zone 2,zomato,delivered,419,1090,1865,,false
484340,2026-06-19T21:29:31,Zone 2,zomato,delivered,445,1226,2554,,false
484343,2026-06-19T21:31:17,Zone 3,swiggy,delivered,368,929,2057,,false
484272,2026-06-19T21:34:38,Zone 3,swiggy,delivered,218,624,1668,,false
484324,2026-06-19T21:37:44,Zone 3,zomato,delivered,295,1215,2429,,false
484131,2026-06-19T22:07:03,Zone 3,swiggy,delivered,346,1185,2311,,false
484237,2026-06-19T22:27:11,Zone 2,swiggy,cancelled,513,648,1652,courier_no_show,false
484350,2026-06-19T22:56:41,Zone 1,zomato,delivered,229,651,1934,,false
484208,2026-06-19T23:41:48,Zone 1,swiggy,delivered,354,403,1403,,false
484416,2026-06-20T00:42:24,Zone 3,swiggy,cancelled,342,738,2007,restaurant_rejected,false
484397,2026-06-20T00:54:55,Zone 1,swiggy,delivered,275,1069,2106,,false
484386,2026-06-20T08:05:59,Zone 1,zomato,delivered,115,921,1580,,false
484463,2026-06-20T08:09:37,Zone 3,zomato,delivered,614,1165,2474,,false
484454,2026-06-20T08:14:36,Zone 2,zomato,delivered,376,953,1623,,false
484496,2026-06-20T09:25:36,Zone 3,swiggy,delivered,265,634,1704,,false
484489,2026-06-20T09:57:05,Zone 2,zomato,delivered,319,1160,2433,,false
484421,2026-06-20T09:58:14,Zone 2,zomato,delivered,308,867,1963,,false
484432,2026-06-20T10:03:53,Zone 1,zomato,delivered,270,910,1741,,false
484564,2026-06-20T10:11:38,Zone 1,zomato,delivered,455,1112,2083,,false
484390,2026-06-20T11:00:10,Zone 3,swiggy,delivered,525,545,1742,,false
484491,2026-06-20T11:06:21,Zone 3,swiggy,delivered,355,856,1714,,false
484596,2026-06-20T11:12:21,Zone 3,zomato,delivered,134,1228,1919,,false
484553,2026-06-20T11:56:53,Zone 3,swiggy,delivered,307,993,2219,,false
484498,2026-06-20T12:01:13,Zone 2,zomato,delivered,315,1179,2455,,false
484588,2026-06-20T12:06:30,Zone 3,zomato,delivered,357,1329,2437,,false
484591,2026-06-20T12:14:47,Zone 2,zomato,delivered,270,881,1569,,false
484569,2026-06-20T12:19:43,Zone 3,swiggy,delivered,147,1065,1977,,false
484405,2026-06-20T12:33:02,Zone 1,swiggy,delivered,232,754,1410,,false
484457,2026-06-20T12:33:30,Zone 2,zomato,delivered,554,616,1874,,false
484408,2026-06-20T12:36:50,Zone 3,swiggy,delivered,269,1376,2539,,false
484508,2026-06-20T13:03:09,Zone 3,swiggy,delivered,258,1393,2431,,false
484428,2026-06-20T13:07:34,Zone 3,swiggy,delivered,243,580,1710,,false
484443,2026-06-20T13:08:26,Zone 2,zomato,cancelled,218,985,2256,courier_no_show,false
484441,2026-06-20T13:28:56,Zone 1,zomato,delivered,217,859,1552,,false
484502,2026-06-20T13:41:34,Zone 1,zomato,delivered,269,717,1525,,false
484430,2026-06-20T13:52:11,Zone 3,zomato,delivered,356,556,1762,,false
484557,2026-06-20T13:53:57,Zone 3,zomato,delivered,234,621,1946,,false
484391,2026-06-20T13:56:07,Zone 2,swiggy,delivered,339,1397,2394,,false
484466,2026-06-20T14:06:21,Zone 2,zomato,delivered,474,1011,1883,,false
484422,2026-06-20T14:37:36,Zone 2,zomato,delivered,213,720,1861,,false
484537,2026-06-20T14:39:38,Zone 3,swiggy,delivered,213,1264,1928,,false
484484,2026-06-20T14:46:26,Zone 3,swiggy,delivered,273,528,1783,,false
484598,2026-06-20T15:13:48,Zone 2,swiggy,delivered,528,505,1456,,false
484439,2026-06-20T16:10:59,Zone 2,zomato,delivered,326,741,2027,,false
484446,2026-06-20T16:50:31,Zone 3,swiggy,delivered,277,654,1931,,false
484396,2026-06-20T17:03:31,Zone 1,swiggy,delivered,514,967,2136,,false
484554,2026-06-20T17:40:59,Zone 3,swiggy,delivered,322,1206,2242,,false
484517,2026-06-20T18:33:51,Zone 3,zomato,delivered,158,583,1914,,false
484410,2026-06-20T18:50:15,Zone 1,swiggy,delivered,211,1172,2488,,false
484479,2026-06-20T19:06:59,Zone 1,zomato,delivered,214,635,1347,,false
484526,2026-06-20T19:33:50,Zone 1,swiggy,delivered,362,1408,2132,,false
484592,2026-06-20T19:37:39,Zone 2,swiggy,delivered,157,986,2246,,false
484572,2026-06-20T19:38:18,Zone 3,swiggy,delivered,255,787,1896,,false
484486,2026-06-20T19:43:14,Zone 2,zomato,delivered,224,804,1567,,false
484580,2026-06-20T19:46:01,Zone 2,swiggy,delivered,478,1437,2327,,false
484450,2026-06-20T20:03:51,Zone 2,zomato,delivered,146,752,2044,,false
484521,2026-06-20T20:08:02,Zone 1,zomato,delivered,198,634,1508,,false
484546,2026-06-20T20:20:17,Zone 2,zomato,delivered,191,1309,2491,,false
484425,2026-06-20T20:20:28,Zone 1,zomato,delivered,166,595,1560,,false
484471,2026-06-20T20:35:44,Zone 3,swiggy,delivered,374,793,1532,,false
484456,2026-06-20T20:36:36,Zone 2,swiggy,delivered,324,976,1789,,false
484482,2026-06-20T20:40:46,Zone 2,swiggy,delivered,219,742,1393,,false
484586,2026-06-20T20:43:34,Zone 3,zomato,delivered,426,1331,2595,,false
484475,2026-06-20T20:44:36,Zone 3,zomato,delivered,362,804,1882,,false
484531,2026-06-20T20:50:18,Zone 3,zomato,delivered,225,1057,1828,,false
484522,2026-06-20T20:51:04,Zone 2,swiggy,delivered,251,944,2145,,false
484434,2026-06-20T21:01:04,Zone 3,swiggy,delivered,162,1258,1938,,false
484540,2026-06-20T21:19:19,Zone 3,zomato,delivered,436,683,1854,,false
484563,2026-06-20T21:41:14,Zone 1,zomato,delivered,334,1389,2371,,false
484429,2026-06-20T21:44:38,Zone 1,zomato,delivered,172,1391,2075,,false
484551,2026-06-20T21:52:03,Zone 3,swiggy,delivered,455,1211,2259,,false
484512,2026-06-20T21:52:33,Zone 3,zomato,delivered,213,842,1516,,false
484574,2026-06-20T22:41:19,Zone 1,zomato,delivered,734,1139,2251,,false
484401,2026-06-20T22:47:41,Zone 1,swiggy,delivered,581,536,1223,,false
484601,2026-06-21T00:46:15,Zone 3,swiggy,delivered,162,811,2038,,false
484846,2026-06-21T01:41:13,Zone 3,swiggy,delivered,150,801,1826,,false
484670,2026-06-21T06:25:26,Zone 2,swiggy,delivered,141,842,1848,,false
484784,2026-06-21T06:32:40,Zone 3,zomato,delivered,510,398,1674,,false
484734,2026-06-21T09:14:56,Zone 3,swiggy,delivered,237,897,1940,,false
484759,2026-06-21T10:00:41,Zone 2,zomato,delivered,372,450,1174,,false
484835,2026-06-21T10:12:33,Zone 3,zomato,delivered,383,1117,2381,,false
484699,2026-06-21T10:45:41,Zone 2,zomato,delivered,249,675,1724,,false
484821,2026-06-21T11:32:02,Zone 1,swiggy,delivered,285,937,2097,,false
484783,2026-06-21T11:38:05,Zone 3,swiggy,cancelled,347,1144,,customer_cancelled_predispatch,false
484725,2026-06-21T12:11:47,Zone 1,swiggy,delivered,231,600,1254,,false
